"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USC00048967","TOPANGA PTRL STATION FC6, CA US","34.0841","-118.5988","227.1","1993-05",,"0.00","0.0",,,,,
"USR0000CPIC","PICACHO WASH CALIFORNIA, CA US","32.95","-114.7322","256.0","1993-05",,,,"80.3","92.0","68.6",,
"USC00043157","FORT BIDWELL, CA US","41.8715","-120.1574","1444.4","1993-05",,"2.27","0.0","54.8","68.4","41.3",,
"USC00043038","FIDDLETOWN DEXTER RANCH, CA US","38.5251","-120.69817","661.4","1993-05",,"2.56","0.0",,,,,
"USC00045218","LYTLE CREEK RANGER STATION, CA US","34.23833","-117.47083","832.1","1993-05",,"0.00","0.0",,,,,
"USC00048606","STRAWBERRY VALLEY 2, CA US","39.53194","-121.1611","1130.8","1993-05",,"4.25","0.0","53.5","65.2","41.8",,
"USR0000CESP","ESPERANZA CALIFORNIA, CA US","38.2428","-120.515","780.0","1993-05",,,,"59.6","73.7","45.4",,
"USR0000CCOL","COLLINS BALDY CALIFORNIA, CA US","41.775","-122.9503","1674.3","1993-05",,,,"53.7","63.2","44.1",,
"USC00046663","PALOS VERDES ES FC43D, CA US","33.7997","-118.391","67.1","1993-05",,"0.00","0.0",,,,,
"USC00047874","SAN PASQUAL ANIMAL PARK, CA US","33.0955","-116.9975","128.0","1993-05",,"0.00","0.0",,,"54.0",,
"USR0000CCOO","COOSKIE MOUNTAIN CALIFORNIA, CA US","40.2569","-124.2661","899.2","1993-05",,,,"46.7","50.7","42.6",,
"USS0020H06S","CEDAR PASS, CA US","41.58","-120.3","2142.7","1993-05",,"3.80",,"44.7","56.2","33.3",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","33.93816","-118.3866","29.7","1993-05","9.4","0.00","0.0","65.1","71.7","58.5",,
"USR0000CCOH","COHASSET CALIFORNIA, CA US","39.8717","-121.7689","528.2","1993-05",,,,"63.4","73.5","53.2",,
"USW00023179","NEEDLES AIRPORT, CA US","34.76783","-114.61842","270.6","1993-05",,"0.09","0.0","82.3","97.3","67.4",,
"USS0019L40S","MONITOR PASS, CA US","38.67","-119.61","2532.9","1993-05",,"0.50",,"44.8","57.4","32.2",,
"USR0000CBLT","BEN BOLT CALIFORNIA, CA US","38.5908","-120.9336","275.8","1993-05",,,,"62.1","76.2","48.1",,
"USC00046657","PALOMAR MOUNTAIN OBSERVATORY, CA US","33.378","-116.84","1691.6","1993-05",,"0.43","0.0","58.7","69.2","48.2",,
"USC00046896","PINE FLAT DAM, CA US","36.821","-119.3374","187.5","1993-05",,"0.06","0.0",,,,,
"USC00045449","MCCLOUD, CA US","41.25171","-122.13827","985.4","1993-05",,"5.08","0.0","54.2","67.3","41.0",,
"USC00047749","SAN DIMAS FIRE FC 95, CA US","34.1052","-117.8019","292.0","1993-05",,"0.00","0.0",,,,,
"USC00041080","BRIDGEVILLE 4 NNW, CA US","40.51944","-123.82167","640.1","1993-05",,"8.57","0.0",,,,,
"USC00043261","FRIANT GOVERNMENT CAMP, CA US","36.99574","-119.70691","131.1","1993-05",,"0.14","0.0","66.7","84.7","48.8",,"1673.4"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","38.5349","-121.7761","18.3","1993-05",,"0.73","0.0","65.2","79.3","51.1",,"3262.8"
"USC00043384","GEORGETOWN RANGER STATION, CA US","38.933","-120.8008","914.7","1993-05",,"2.80","0.0",,,,,
"USC00046650","PALOMA, CA US","36.35028","-121.54","541.0","1993-05",,"0.45","0.0",,,,,
"USC00044232","INDEPENDENCE, CA US","36.798","-118.2036","1204.0","1993-05",,"0.00","0.0","66.7","83.2","50.1",,
"USW00023161","BARSTOW DAGGETT AIRPORT, CA US","34.85371","-116.78702","584.8","1993-05","12.8","0.00","0.0","74.3","89.4","59.2",,
"USR0000CBLD","BLUE DOOR CALIFORNIA, CA US","41.0547","-120.3375","1711.5","1993-05",,,,"49.9","62.7","37.1",,
"USR0000CMAR","MARIPOSA GROVE CALIFORNIA, CA US","37.5128","-119.6047","1950.7","1993-05",,,,"51.5","61.7","41.4",,
"USW00024257","REDDING AIRPORT, CA US","40.51462","-122.29773","152.6","1993-05","7.4","6.72","0.0","65.1","77.6","52.6","24871",
"USC00043134","FORESTHILL RANGER STATION, CA US","39.01","-120.8455","919.0","1993-05",,"3.91","0.0",,,,,
"USC00046646","PALO ALTO, CA US","37.4436","-122.1402","7.6","1993-05",,"0.18","0.0","60.9","72.4","49.2",,
"USC00048702","SUSANVILLE 2 SW, CA US","40.4167","-120.6631","1283.8","1993-05",,"0.57","0.0","53.5","70.6","36.3",,
"USC00043498","GOLDSTONE ECHO NUMBER 2, CA US","35.2813","-116.7844","899.2","1993-05",,"0.04","0.0",,,,,
"USC00044223","IMPERIAL, CA US","32.8488","-115.5666","-19.5","1993-05",,"0.03","0.0","79.1","95.2","63.0",,
"USC00041072","BRIDGEPORT, CA US","38.2575","-119.2286","1972.1","1993-05",,"0.22","0.0","53.7","70.8","36.5",,
"USC00045679","MINERAL, CA US","40.3458","-121.6091","1485.9","1993-05",,"6.33","0.5","47.8","61.1","34.5",,
"USC00048826","TEHACHAPI, CA US","35.13333","-118.45","1224.4","1993-05",,"0.00","0.0","58.4","71.5","45.4",,
"USC00043491","GOLD RUN 4 SW, CA US","39.15014","-120.90026","981.5","1993-05",,"3.48","0.0",,,,,
"USC00045790","MONTEBELLO, CA US","34.0191","-118.1052","75.0","1993-05",,"0.02","0.0","70.4","82.3","58.5",,
"USC00041194","BURBANK VALLEY PUMP PLANT, CA US","34.1866","-118.348","199.6","1993-05",,"0.20","0.0",,,"58.0",,
"USC00047851","SAN LUIS OBISPO POLY, CA US","35.3056","-120.6619","93.9","1993-05",,"0.23","0.0","61.9","75.6","48.2",,
"USR0000CBOR","BORON CALIFORNIA, CA US","35.0767","-117.585","881.8","1993-05",,,,"68.0","81.1","54.9",,
"USC00047731","SAN CLEMENTE DAM, CA US","36.4375","-121.7092","182.9","1993-05",,"0.37","0.0",,,,,
"USC00046521","OROVILLE, CA US","39.5177","-121.553","52.1","1993-05",,"2.81","0.0","66.5","78.8","54.2",,
"USC00045311","MANZANITA LAKE, CA US","40.5411","-121.5766","1752.6","1993-05",,"3.33","0.0","48.2","61.0","35.4",,
"USC00045795","MONTEREY, CA US","36.5927","-121.8555","37.2","1993-05",,"0.83","0.0","59.8","68.6","50.9",,
"USW00024283","ARCATA EUREKA AIRPORT, CA US","40.97844","-124.10479","64.5","1993-05","7.8",,,"55.0","62.2","47.7",,
"USS0020K31S","CSS LAB, CA US","39.33","-120.37","2089.4","1993-05",,"3.10",,"43.2","54.2","32.3",,
"USR0000CBOG","BOGARD RANGER STATION CALIFORNIA, CA US","40.5981","-121.0831","1722.1","1993-05",,,,"46.3","60.7","31.9",,
"USW00003104","DESERT RESORTS REGIONAL AIRPORT, CA US","33.63166","-116.16412","-36.0","1993-05",,"0.01","0.0","79.8","95.7","63.8",,
"USW00023190","SANTA BARBARA MUNICIPAL AIRPORT, CA US","34.4241","-119.84249","2.5","1993-05","8.1","0.04","0.0","63.5","74.2","52.8",,
"USC00047723","SAN BERNARDINO F S 226, CA US","34.13444","-117.25389","347.5","1993-05",,"0.00","0.0","69.7","82.3","57.1",,
"USC00047965","SANTA ROSA, CA US","38.45579","-122.71335","50.6","1993-05",,"1.44","0.0","62.2","71.9","52.4",,
"USC00046635","PALM SPRINGS, CA US","33.8275","-116.5097","129.5","1993-05",,"0.06","0.0","81.0","96.3","65.6",,
"USC00043489","GOLD ROCK RANCH, CA US","32.88333","-114.86667","147.8","1993-05",,"0.36","0.0","81.7","97.2","66.2",,
"USC00044577","KLAMATH, CA US","41.57861","-124.07472","8.5","1993-05",,"9.16","0.0",,,,,
"USC00043369","GEM LAKE, CA US","37.7519","-119.1402","2734.1","1993-05",,"0.37",,,,,,
"USC00047846","SAN LUIS DAM, CA US","37.05333","-121.05778","84.4","1993-05",,"0.39","0.0","66.6","78.9","54.4",,"4440.3"
"USC00044211","IDYLLWILD FIRE DEPARTMENT, CA US","33.7572","-116.7066","1639.8","1993-05",,"0.84","0.0","55.3","70.6","40.1",,
"USS0020K30S","SQUAW VALLEY G.C., CA US","39.19","-120.26","2447.2","1993-05",,"3.40",,"41.6","49.6","33.7",,
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","36.77999","-119.72016","101.9","1993-05","8.9","0.25","0.0","69.9","83.9","55.9","23993",
"USR0000CLAP","LA PANZA CALIFORNIA, CA US","35.3811","-120.1875","496.8","1993-05",,,,"59.8","78.3","41.3",,
"USR0000CSOM","SOMES BAR CALIFORNIA, CA US","41.39","-123.4958","280.4","1993-05",,,,"60.8","73.4","48.1",,
"USR0000CPIK","PIKE CO LOOKOUT CALIFORNIA, CA US","39.475","-121.2025","1132.0","1993-05",,,,"58.1","71.2","44.9",,
"USR0000CSOL","SOLDIER MOUNTAIN CALIFORNIA, CA US","40.9258","-121.5856","1130.8","1993-05",,,,"55.2","65.9","44.5",,
"USW00023188","SAN DIEGO INTERNATIONAL AIRPORT, CA US","32.7336","-117.1831","4.6","1993-05","8.9","0.01","0.0","66.0","71.5","60.5","17770",
"USW00023187","SANDBERG, CA US","34.74361","-118.72528","1374.6","1993-05",,"0.03","0.0","60.9","71.4","50.4",,
"USR0000CLAH","LA HONDA CALIFORNIA, CA US","37.3053","-122.255","265.8","1993-05",,,,"56.5","66.5","46.4",,
"USR0000CPIL","PILOT HILL CALIFORNIA, CA US","38.8325","-121.0086","365.8","1993-05",,,,"60.9","74.1","47.7",,
"USC00046624","PALMDALE, CA US","34.5883","-118.0938","796.1","1993-05",,"0.00","0.0","68.5","84.0","53.1",,
"USC00045532","MERCED, CA US","37.2888","-120.5158","46.9","1993-05",,"1.06","0.0","67.8","83.9","51.7",,
"USC00043357","GASQUET RANGER STATION, CA US","41.84587","-123.96704","118.0","1993-05",,"11.42","0.0",,,,,
"USC00042147","CRESCENT CITY, CA US","41.7958","-124.2147","13.1","1993-05",,"5.47","0.0","57.2","63.8","50.6",,
"USC00042148","CRESCENT CITY 7 ENE, CA US","41.79417","-124.085","36.6","1993-05",,"10.34","0.0",,,,,
"USC00046506","ORLAND, CA US","39.7458","-122.1997","77.4","1993-05",,"2.66","0.0","65.9","78.9","53.0",,
"USC00047957","SANTA PAULA, CA US","34.3119","-119.13306","72.2","1993-05",,"0.12","0.0",,,"51.6",,
"USR0000CRIC","RICE VALLEY CALIFORNIA, CA US","34.0608","-114.7322","249.9","1993-05",,,,"80.2","94.8","65.6",,
"USW00093111","POINT MUGU NF, CA US","34.12407","-119.12281","3.8","1993-05","7.2","0.13","0.0","62.8","71.0","54.6",,
"USW00093112","NORTH ISLAND NAS, CA US","32.69219","-117.20983","4.4","1993-05","7.2","0.00","0.0","65.4","69.9","60.9",,
"USC00045890","MOUNTAIN PASS, CA US","35.47028","-115.54361","1441.7","1993-05",,"0.25","0.0",,,,,
"USW00093114","TUSTIN MCAF, CA US","33.7","-117.83333","17.1","1993-05","5.1","0.00","0.0","69.6","80.0","59.3",,
"USW00093115","IMPERIAL BEACH REAM FIELD NAS, CA US","32.56797","-117.11715","7.2","1993-05",,,,,,,,
"USR0000CGSP","GREEN SPRING CALIFORNIA, CA US","37.8331","-120.5","310.9","1993-05",,,,"64.2","77.7","50.7",,
"USS0020K25S","WARD CREEK NUMBER 3, CA US","39.14","-120.22","2028.4","1993-05",,"4.50",,"44.4","58.3","30.5",,
"USS0020K13S","TRUCKEE NUMBER 2, CA US","39.3","-120.18","1983.9","1993-05",,"1.40",,"48.5","61.9","35.0",,
"USS0020L10S","FALLEN LEAF, CA US","38.93","-120.05","1900.7","1993-05",,"1.69",,,"62.0",,,
"USC00046508","ORLEANS, CA US","41.30206","-123.53851","122.8","1993-05",,"5.11","0.0",,,,,
"USC00048928","TIGER CREEK PH, CA US","38.44611","-120.49917","717.8","1993-05",,"3.75","0.0","59.1","73.1","45.1",,
"USW00003122","TORRANCE AIRPORT, CA US","33.8016","-118.3419","27.4","1993-05",,"0.00","0.0","65.7","74.7","56.6",,
"USC00042012","CORCORAN IRRIGATION DIST., CA US","36.0975","-119.5817","61.0","1993-05",,"0.10","0.0","69.4","84.3","54.5",,
"USC00045400","MATHER, CA US","37.885","-119.8561","1374.6","1993-05",,"0.60","0.0",,,,,
"USC00041288","CALEXICO, CA US","32.6881","-115.4644","3.7","1993-05",,"0.00","0.0",,,,,
"USC00044555","KING CITY, CA US","36.2069","-121.1377","97.5","1993-05",,"0.20","0.0","64.1","79.8","48.5",,
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","1993-05",,"0.47","0.0","65.5","76.4","54.5",,
"USC00040192","ANAHEIM, CA US","33.8647","-117.8425","70.7","1993-05",,"0.00","0.0","68.8","79.1","58.5",,
"USC00041048","BRAWLEY, CA US","32.9544","-115.5581","-30.5","1993-05",,"0.03","0.0","77.7","93.2","62.2",,
"USC00044671","LAKE ARROWHEAD, CA US","34.2466","-117.1883","1586.5","1993-05",,"0.00","0.0","57.3","69.6","44.9",,
"USC00046730","PASO ROBLES, CA US","35.6277","-120.6855","222.5","1993-05",,"0.01","0.0","62.4","78.8","46.0",,
"USC00042494","DOWNEY FIRE STATION FC107C, CA US","33.9297","-118.1455","33.5","1993-05",,"0.00","0.0",,,,,
"USR0000COAK","OAK KNOLL CALIFORNIA, CA US","41.8386","-122.85","591.3","1993-05",,,,"58.3","72.9","43.8",,
"USC00048917","THREE RIVERS EDISON PH 1, CA US","36.465","-118.8619","347.5","1993-05",,"0.16","0.0","68.8","86.3","51.3",,
"USR0000CGRA","GRANITE MOUNTAIN CALIFORNIA, CA US","34.5356","-117.0258","1438.7","1993-05",,,,"63.4","74.3","52.5",,
"USC00044422","JUNCAL DAM, CA US","34.4908","-119.5069","688.8","1993-05",,"0.48","0.0",,,,,
"USR0000CBKR","BAKER CALIFORNIA, CA US","40.2789","-122.4869","213.4","1993-05",,,,"63.0","75.9","50.1",,
"USC00047933","SANTA MARGARITA BOOST, CA US","35.3741","-120.6375","349.9","1993-05",,"0.20","0.0",,,,,
"USC00046602","PACOIMA DAM FC33A E, CA US","34.3294","-118.4005","472.4","1993-05",,"0.00","0.0",,,,,
"USC00041277","CALAVERAS BIG TREES, CA US","38.2769","-120.3113","1431.0","1993-05",,"1.88","0.0","51.7","62.3","41.1",,
"USR0000CDOR","DORRIS RANCH CALIFORNIA, CA US","39.3036","-121.1172","617.2","1993-05",,,,"60.3","71.8","48.8",,
"USC00043578","GRATON, CA US","38.4305","-122.8647","61.0","1993-05",,"2.21","0.0","60.3","72.9","47.7",,
"USC00046726","PASKENTA RANGER STATION, CA US","39.8875","-122.5538","230.1","1993-05",,"2.59","0.0",,,,,
"USC00045756","MOJAVE, CA US","35.0492","-118.1619","833.6","1993-05",,"0.00","0.0","68.3","82.3","54.4",,
"USC00041159","BUCKS CREEK, CA US","39.9372","-121.3147","576.4","1993-05",,"4.59","0.0",,,,,
"USR0000CDOY","DOYLE CALIFORNIA, CA US","40.0222","-120.1056","1292.4","1993-05",,,,"57.2","72.6","41.8",,
"USC00047813","SAN JACINTO, CA US","33.7965","-116.9753","464.8","1993-05",,"0.03","0.0","68.1","83.7","52.6",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","1993-05",,"0.02",,"68.9","77.0","60.7",,
"USC00046960","PLACERVILLE, CA US","38.6955","-120.8244","563.9","1993-05",,"2.53","0.0","60.7","74.2","47.1",,
"USC00043452","GLENDORA FC 287B, CA US","34.1472","-117.8472","284.4","1993-05",,"0.03","0.0",,,,,
"USC00043573","GRASS VALLEY NUMBER 2, CA US","39.2041","-121.068","731.5","1993-05",,"2.13","0.0","57.3","68.4","46.1",,
"USC00045983","MOUNT SHASTA, CA US","41.32175","-122.31725","1101.2","1993-05",,"5.24","0.0","54.3","66.6","42.0",,
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","1993-05",,"0.00","0.0","81.1","98.5","63.7",,
"USC00042598","EAGLE MOUNTAIN, CA US","33.80807","-115.45138","296.6","1993-05",,"0.08","0.0","81.6","92.8","70.4",,
"USC00044412","JULIAN CDF, CA US","33.0763","-116.5925","1284.7","1993-05",,"0.56","0.0",,,,,
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","1993-05",,"0.60","0.0","57.9","66.2","49.6",,
"USC00041149","BUCKHORN, CA US","40.87972","-121.93168","1127.8","1993-05",,"5.18","0.0",,,,,
"USC00042239","CUYAMACA, CA US","32.9897","-116.5872","1414.3","1993-05",,"0.60","0.0","57.3","70.1","44.6",,
"USC00044890","LEMON COVE, CA US","36.3817","-119.0264","156.4","1993-05",,"0.23","0.0","70.1","86.6","53.6",,
"USR0000CFRE","FREMONT CANYON CALIFORNIA, CA US","33.8081","-117.7111","542.8","1993-05",,,,"65.6","76.8","54.5",,
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","1993-05",,"0.00","0.0","66.5","79.5","53.4",,
"USC00046719","PASADENA, CA US","34.1483","-118.1447","263.3","1993-05",,"0.02","0.0","68.9","81.7","56.2",,
"USC00047807","SAN GREGORIO 2 SE, CA US","37.31167","-122.36167","83.8","1993-05",,"1.57","0.0","57.5","66.6","48.5",,
"USW00003154","CAMP PENDLETON MCAS, CA US","33.30424","-117.35508","21.4","1993-05","6.3","0.00","0.0","66.7","75.3","58.2",,
"USC00041010","BOULEVARD 2, CA US","32.66667","-116.3","1097.3","1993-05",,"0.08","0.0",,,,,
"USC00041253","CACHUMA LAKE, CA US","34.58223","-119.98159","240.5","1993-05",,"0.00","0.0","64.9","81.4","48.4",,"1335.9"
"USC00046943","PISMO BEACH, CA US","35.1597","-120.683","11.9","1993-05",,"0.04","0.0",,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","1993-05",,"2.76","0.0","52.0","66.0","38.0",,
"USC00044523","KERN RIVER PH 3, CA US","35.7831","-118.4389","823.9","1993-05",,"0.00","0.0","67.8","84.6","51.0",,
"USC00040161","ALTURAS, CA US","41.49021","-120.54376","1332.9","1993-05",,"1.89","0.0","52.6","69.3","36.0",,
"USC00046940","PIRU 2 ESE, CA US","34.4061","-118.7569","217.0","1993-05",,"0.02","0.0",,,,,
"USC00042346","DELANO, CA US","35.7683","-119.26","92.0","1993-05",,"0.00","0.0",,,,,
"USC00042467","DONNER MEMORIAL ST PARK, CA US","39.3239","-120.2331","1809.6","1993-05",,"1.56","1.0",,,,,
"USC00046946","PIT RIVER PH 5, CA US","40.9869","-121.9772","444.4","1993-05",,"5.24","0.0",,,,,
"USC00046826","PETALUMA AIRPORT, CA US","38.2577","-122.6077","6.1","1993-05",,"1.41","0.0","60.1","71.7","48.5",,
"USC00046944","PIT RIVER POWER HOUSE 1, CA US","41.0","-121.5","877.8","1993-05",,"1.44","0.0",,,,,
"USC00044647","LAGUNA BEACH, CA US","33.5453","-117.7813","13.4","1993-05",,"0.00","0.0",,,,,
"USR0000CJUL","JULIAN CALIFORNIA, CA US","33.0758","-116.5908","1292.4","1993-05",,,,"60.3","72.2","48.4",,
"USC00041018","BOWMAN DAM, CA US","39.4539","-120.6556","1641.3","1993-05",,"5.04","0.0",,,,,
"USR0000CLYO","LYONS VALLEY CALIFORNIA, CA US","39.1258","-123.0736","975.4","1993-05",,,,"52.8","61.1","44.5",,
"USC00049099","TWENTYNINE PALMS, CA US","34.128","-116.0369","602.0","1993-05",,"0.02","0.0","77.1","93.3","60.8",,
"USC00043791","HARRISON GULCH RANGER STATION, CA US","40.3636","-122.965","838.2","1993-05",,"6.78","0.0",,,,,
"USR0000CJUN","JUNIPER CREEK CALIFORNIA, CA US","41.3322","-120.4725","1332.6","1993-05",,,,"53.6","66.8","40.3",,
"USC00043551","GRANT GROVE, CA US","36.73751","-118.96197","2005.6","1993-05",,"0.30","0.0","48.8","58.4","39.2",,
"USC00043672","GROVELAND R S, CA US","37.823","-120.0983","958.6","1993-05",,"1.26","0.0",,,,,
"USC00044881","LEE VINING, CA US","37.9567","-119.1194","2071.7","1993-05",,"0.00","0.0",,"67.5",,,
"USS0019L24S","HEAVENLY VALLEY, CA US","38.92","-119.92","2615.8","1993-05",,"1.09",,,"52.8",,,
"USR0000CBEA","BEAR PEAK CALIFORNIA, CA US","35.8842","-118.0517","2507.9","1993-05",,,,"50.7","59.9","41.5",,
"USR0000CTHO","THOMES CREEK CALIFORNIA, CA US","39.8644","-122.6097","317.0","1993-05",,,,"64.9","75.6","54.3",,
"USC00047916","SANTA CRUZ, CA US","36.98785","-121.99952","21.3","1993-05",,"0.94","0.0","60.9","70.5","51.2",,
"USR0000CJUA","JUANITA LAKE CALIFORNIA, CA US","41.7861","-122.0056","1645.9","1993-05",,,,"51.7","62.8","40.5",,
"USC00042331","DEEP SPRINGS COLLEGE, CA US","37.3738","-117.9802","1592.6","1993-05",,"0.11","0.0","60.9","75.9","45.8",,
"USC00042574","DUNSMUIR TREATMENT PLANT, CA US","41.1831","-122.28167","661.1","1993-05",,"5.93","0.0","57.4","70.0","44.7",,
"USC00041244","BUTTONWILLOW, CA US","35.4028","-119.47","68.6","1993-05",,"0.05","0.0","69.3","85.1","53.6",,
"USW00093209","PASO ROBLES MUNICIPAL AIRPORT, CA US","35.66936","-120.62918","249.8","1993-05",,"0.00","0.0","63.1","81.2","44.9",,
"USC00045721","MITCHELL CAVERNS, CA US","34.9436","-115.5469","1325.9","1993-05",,"0.22","0.0","67.8","80.5","55.1",,
"USC00042214","CULVER CITY, CA US","34.005","-118.4139","28.0","1993-05",,"0.00","0.0",,,,,
"USC00042456","DOBBINS 1 S, CA US","39.3575","-121.2011","499.9","1993-05",,"2.68","0.0",,,,,
"USC00044997","LIVERMORE, CA US","37.68194","-121.75139","161.2","1993-05",,"0.51","0.0","63.5","75.8","51.2",,
"USC00047902","SANTA BARBARA, CA US","34.4167","-119.6844","4.9","1993-05",,"0.05","0.0","62.2","73.0","51.3",,
"USC00042338","DEER CREEK FOREBAY, CA US","39.3","-120.83333","1357.9","1993-05",,"4.78","0.0","54.4","66.9","41.8",,
"USR0000CSEC","SECRET TOWN CALIFORNIA, CA US","39.1836","-120.8847","861.4","1993-05",,,,"57.7","70.1","45.3",,
"USR0000CDGR","DEVILS GARDEN CALIFORNIA, CA US","41.53","-120.6714","1530.7","1993-05",,,,"52.3","64.3","40.4",,
"USC00040383","AUBURN, CA US","38.9072","-121.0838","393.8","1993-05",,"1.67","0.0","63.3","74.3","52.3",,
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","34.1233","-116.4078","993.6","1993-05",,,,"66.8","82.5","51.1",,
"USC00043896","HEMET, CA US","33.7381","-116.8939","552.0","1993-05",,"0.12","0.0",,,,,
